time	V(vout1)
0.000000000000000e+00	0.000000e+00
5.371093569905838e-10	6.713866e-07
1.074218713981168e-09	1.342773e-06
2.249018132788220e-04	2.766564e-01
4.498025523389300e-04	5.461534e-01
6.747032913990380e-04	8.084924e-01
8.996040304591460e-04	1.063673e+00
1.124504769519254e-03	1.311696e+00
1.349405508579362e-03	1.552561e+00
1.574306247639469e-03	1.786268e+00
2.134434595853755e-03	2.335976e+00
2.694562944068040e-03	2.853989e+00
3.254691292282326e-03	3.340307e+00
3.814819640496611e-03	3.794930e+00
4.374947988710897e-03	4.217857e+00
4.935076336925182e-03	4.609089e+00
5.495204685139466e-03	4.968626e+00
6.224138836925176e-03	5.399548e+00
6.953072988710888e-03	5.799810e+00
7.682007140496598e-03	6.169411e+00
8.410941292282309e-03	6.508351e+00
9.139875444068021e-03	6.816629e+00
9.868809595853730e-03	7.094247e+00
1.059774374763944e-02	7.341204e+00
1.132667789942515e-02	7.568922e+00
1.205561205121086e-02	7.780438e+00
1.278454620299657e-02	7.975751e+00
1.351348035478228e-02	8.154861e+00
1.424241450656799e-02	8.317769e+00
1.497134865835370e-02	8.464474e+00
1.570028281013941e-02	8.594976e+00
1.642921696192512e-02	8.715313e+00
1.715815111371084e-02	8.827088e+00
1.788708526549655e-02	8.930300e+00
1.861601941728225e-02	9.024949e+00
1.934495356906797e-02	9.111037e+00
2.007388772085368e-02	9.188562e+00
2.080282187263939e-02	9.257524e+00
2.153175602442510e-02	9.321115e+00
2.226069017621081e-02	9.380182e+00
2.298962432799652e-02	9.434723e+00
2.371855847978223e-02	9.484741e+00
2.444749263156794e-02	9.530233e+00
2.517642678335365e-02	9.571201e+00
2.590536093513936e-02	9.607644e+00
2.663429508692507e-02	9.641248e+00
2.736322923871078e-02	9.672461e+00
2.809216339049649e-02	9.701284e+00
2.882109754228220e-02	9.727715e+00
2.955003169406792e-02	9.751755e+00
3.027896584585362e-02	9.773404e+00
3.100789999763933e-02	9.792662e+00
3.174450714049647e-02	9.810593e+00
3.248111428335362e-02	9.827237e+00
3.321772142621075e-02	9.842596e+00
3.395432856906790e-02	9.856668e+00
3.469093571192503e-02	9.869454e+00
3.542754285478217e-02	9.880953e+00
3.616414999763931e-02	9.891167e+00
3.690075714049645e-02	9.900579e+00
3.763736428335359e-02	9.909316e+00
3.837397142621073e-02	9.917377e+00
3.911057856906787e-02	9.924764e+00
3.984718571192501e-02	9.931475e+00
4.058379285478215e-02	9.937512e+00
4.132039999763928e-02	9.942873e+00
4.207235312263928e-02	9.947908e+00
4.282430624763928e-02	9.952577e+00
4.357625937263927e-02	9.956878e+00
4.432821249763927e-02	9.960812e+00
4.508016562263926e-02	9.964380e+00
4.583211874763926e-02	9.967580e+00
4.658407187263926e-02	9.970413e+00
4.735137097978211e-02	9.973070e+00
4.811867008692496e-02	9.975531e+00
4.888596919406782e-02	9.977794e+00
4.965326830121067e-02	9.979861e+00
5.042056740835352e-02	9.981731e+00
5.118786651549638e-02	9.983405e+00
5.195516562263923e-02	9.984881e+00
5.224673928335351e-02	9.985421e+00
5.253831294406780e-02	9.985943e+00
5.282988660478209e-02	9.986447e+00
5.312146026549637e-02	9.986933e+00
5.341303392621065e-02	9.987402e+00
5.370460758692493e-02	9.987853e+00
5.399618124763922e-02	9.988286e+00
5.404989218513922e-02	9.988364e+00
5.496297812263921e-02	9.989619e+00
5.500000000000000e-02	9.989667e+00
