time	V(vout1)	V(vout2)	I(C1)	I(C2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	5.000000e-08	1.000000e-08	3.750000e-04	7.500000e-05
1.999999943436137e-09	9.999999e-08	2.000000e-08	5.000000e-04	1.000000e-04
2.939976852906273e-03	1.445203e-01	2.916450e-02	4.855480e-04	9.854177e-05
5.879951705812603e-03	2.851491e-01	5.791956e-02	4.714851e-04	9.710402e-05
8.819926558718933e-03	4.218866e-01	8.626521e-02	4.578113e-04	9.568674e-05
1.175990141162526e-02	5.547327e-01	1.142014e-01	4.445267e-04	9.428992e-05
1.469987626453159e-02	6.836875e-01	1.417283e-01	4.316313e-04	9.291358e-05
1.763985111743792e-02	8.087509e-01	1.688457e-01	4.191249e-04	9.155772e-05
2.057982597034425e-02	9.299229e-01	1.955536e-01	4.070077e-04	9.022232e-05
2.769478132748711e-02	1.206485e+00	2.584357e-01	3.793515e-04	8.707821e-05
3.480973668462996e-02	1.466890e+00	3.192985e-01	3.533110e-04	8.403507e-05
4.192469204177282e-02	1.711138e+00	3.781421e-01	3.288862e-04	8.109289e-05
4.903964739891568e-02	1.939229e+00	4.349663e-01	3.060772e-04	7.825168e-05
5.615460275605855e-02	2.151162e+00	4.897713e-01	2.848838e-04	7.551143e-05
6.326955811320140e-02	2.346938e+00	5.425570e-01	2.653062e-04	7.287215e-05
7.038451347034425e-02	2.526557e+00	5.933235e-01	2.473443e-04	7.033383e-05
7.945259382748711e-02	2.737463e+00	6.553927e-01	2.262537e-04	6.723037e-05
8.852067418462997e-02	2.933418e+00	7.149885e-01	2.066582e-04	6.425058e-05
9.758875454177282e-02	3.114423e+00	7.721109e-01	1.885577e-04	6.139446e-05
1.066568348989157e-01	3.280477e+00	8.267600e-01	1.719523e-04	5.866200e-05
1.157249152560585e-01	3.431580e+00	8.789357e-01	1.568420e-04	5.605322e-05
1.247929956132014e-01	3.567732e+00	9.286380e-01	1.432268e-04	5.356810e-05
1.338610759703442e-01	3.688934e+00	9.758669e-01	1.311066e-04	5.120665e-05
1.429291563274871e-01	3.800726e+00	1.021056e+00	1.199274e-04	4.894717e-05
1.519972366846300e-01	3.904594e+00	1.064445e+00	1.095406e-04	4.677773e-05
1.610653170417728e-01	4.000536e+00	1.106033e+00	9.994634e-05	4.469833e-05
1.701333973989157e-01	4.088554e+00	1.145821e+00	9.114453e-05	4.270896e-05
1.792014777560585e-01	4.168648e+00	1.183807e+00	8.313520e-05	4.080963e-05
1.882695581132014e-01	4.240816e+00	1.219993e+00	7.591835e-05	3.900034e-05
1.973376384703442e-01	4.305060e+00	1.254378e+00	6.949397e-05	3.728108e-05
2.064057188274871e-01	4.364317e+00	1.287279e+00	6.356834e-05	3.563607e-05
2.154737991846300e-01	4.419372e+00	1.318868e+00	5.806277e-05	3.405660e-05
2.245418795417728e-01	4.470227e+00	1.349146e+00	5.297726e-05	3.254269e-05
2.336099598989157e-01	4.516882e+00	1.378113e+00	4.831180e-05	3.109433e-05
2.426780402560585e-01	4.559336e+00	1.405770e+00	4.406640e-05	2.971151e-05
